Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,sova-luxury-mattress,,,,,,,,SOVA-LUX-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,28999,35999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,sova-luxury-mattress,,,,,,,,SOVA-LUX-KIN,,Size,"King (78"" x 72"")",,,,,,,,34999,42999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Resto Classic Mattress,resto-classic-mattress,"Resto Classic by Foamico — Pro Nexa Foam comfort over an Enduro HR support core, wrapped in Super Plush Luxeknit fabric. Firm, dependable, everyday support. 10-year warranty with 5-year full replacement.",Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Resto, Classic",TRUE,Active,RESTO-CLS-SIN,,Size,"Single (72"" x 36"")",,,,,,,,14999,18999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Resto Classic Mattress | Foamico,"Resto Classic by Foamico — Pro Nexa Foam comfort over an Enduro HR support core, wrapped in Super Plush Luxeknit fabric. Firm, dependable, everyday support. 10-year warranty with 5-year full replacement.",,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,resto-classic-mattress,,,,,,,,RESTO-CLS-DOU,,Size,"Double (72"" x 48"")",,,,,,,,18999,23999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,resto-classic-mattress,,,,,,,,RESTO-CLS-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,22999,28999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,resto-classic-mattress,,,,,,,,RESTO-CLS-KIN,,Size,"King (78"" x 72"")",,,,,,,,27999,34999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Resto Premium Mattress,resto-premium-mattress,"Resto Premium by Foamico — Cosmic Byte and Pro Nexa comfort foams over an Enduro HR support core, wrapped in Super Plush Luxeknit fabric. 10-year warranty with 5-year full replacement.",Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Resto, Premium",TRUE,Active,RESTO-PRM-SIN,,Size,"Single (72"" x 36"")",,,,,,,,16999,21999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Resto Premium Mattress | Foamico,"Resto Premium by Foamico — Cosmic Byte and Pro Nexa comfort foams over an Enduro HR support core, wrapped in Super Plush Luxeknit fabric. 10-year warranty with 5-year full replacement.",,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,resto-premium-mattress,,,,,,,,RESTO-PRM-DOU,,Size,"Double (72"" x 48"")",,,,,,,,20999,26999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,resto-premium-mattress,,,,,,,,RESTO-PRM-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,25999,32999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,resto-premium-mattress,,,,,,,,RESTO-PRM-KIN,,Size,"King (78"" x 72"")",,,,,,,,30999,37999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Resto Luxury Mattress,resto-luxury-mattress,"Resto Luxury by Foamico — Memorest, Cosmic Byte and Pro Nexa comfort foams over an Enduro HR support core, wrapped in Super Plush Luxeknit fabric. 10-year warranty with 5-year full replacement.",Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Resto, Luxury",TRUE,Active,RESTO-LUX-SIN,,Size,"Single (72"" x 36"")",,,,,,,,18999,23999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Resto Luxury Mattress | Foamico,"Resto Luxury by Foamico — Memorest, Cosmic Byte and Pro Nexa comfort foams over an Enduro HR support core, wrapped in Super Plush Luxeknit fabric. 10-year warranty with 5-year full replacement.",,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,resto-luxury-mattress,,,,,,,,RESTO-LUX-DOU,,Size,"Double (72"" x 48"")",,,,,,,,23999,29999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,resto-luxury-mattress,,,,,,,,RESTO-LUX-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,28999,35999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,resto-luxury-mattress,,,,,,,,RESTO-LUX-KIN,,Size,"King (78"" x 72"")",,,,,,,,33999,41999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Luma Classic Mattress,luma-classic-mattress,Luma Classic by Foamico — Pro Nexa Foam and a Hybrid Pocket Spring core wrapped in Super Plush Luxeknit fabric. 7-year warranty with 5-year full replacement.,Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Luma, Classic",TRUE,Active,LUMA-CLS-SIN,,Size,"Single (72"" x 36"")",,,,,,,,15999,19999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Luma Classic Mattress | Foamico,Luma Classic by Foamico — Pro Nexa Foam and a Hybrid Pocket Spring core wrapped in Super Plush Luxeknit fabric. 7-year warranty with 5-year full replacement.,,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,luma-classic-mattress,,,,,,,,LUMA-CLS-DOU,,Size,"Double (72"" x 48"")",,,,,,,,19999,24999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,luma-classic-mattress,,,,,,,,LUMA-CLS-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,23999,29999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,luma-classic-mattress,,,,,,,,LUMA-CLS-KIN,,Size,"King (78"" x 72"")",,,,,,,,28999,35999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Luma Premium Mattress,luma-premium-mattress,"Luma Premium by Foamico — a deeper 8-inch Hybrid Pocket Spring core over Pro Nexa Foam, wrapped in Super Plush Luxeknit fabric. 7-year warranty with 5-year full replacement.",Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Luma, Premium",TRUE,Active,LUMA-PRM-SIN,,Size,"Single (72"" x 36"")",,,,,,,,18999,23999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Luma Premium Mattress | Foamico,"Luma Premium by Foamico — a deeper 8-inch Hybrid Pocket Spring core over Pro Nexa Foam, wrapped in Super Plush Luxeknit fabric. 7-year warranty with 5-year full replacement.",,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,luma-premium-mattress,,,,,,,,LUMA-PRM-DOU,,Size,"Double (72"" x 48"")",,,,,,,,22999,28999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,luma-premium-mattress,,,,,,,,LUMA-PRM-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,27999,34999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,luma-premium-mattress,,,,,,,,LUMA-PRM-KIN,,Size,"King (78"" x 72"")",,,,,,,,32999,40999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Luma Luxury Mattress,luma-luxury-mattress,"Luma Luxury by Foamico — Memorest and Pro Nexa comfort foams over a 10-inch Hybrid Pocket Spring core, wrapped in Super Plush Luxeknit fabric. 7-year warranty with 5-year full replacement.",Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Luma, Luxury",TRUE,Active,LUMA-LUX-SIN,,Size,"Single (72"" x 36"")",,,,,,,,20999,25999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Luma Luxury Mattress | Foamico,"Luma Luxury by Foamico — Memorest and Pro Nexa comfort foams over a 10-inch Hybrid Pocket Spring core, wrapped in Super Plush Luxeknit fabric. 7-year warranty with 5-year full replacement.",,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,luma-luxury-mattress,,,,,,,,LUMA-LUX-DOU,,Size,"Double (72"" x 48"")",,,,,,,,25999,31999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,luma-luxury-mattress,,,,,,,,LUMA-LUX-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,31999,38999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,luma-luxury-mattress,,,,,,,,LUMA-LUX-KIN,,Size,"King (78"" x 72"")",,,,,,,,36999,44999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Ultima Classic Mattress,ultima-classic-mattress,"Ultima Classic by Foamico — reliable, firm comfort with Cloud Sense Foam over Zero G Latex orthopedic support. 25-year warranty with 5-year full replacement.",Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Ultima, Classic",TRUE,Active,ULT-CLS-SIN,,Size,"Single (72"" x 36"")",,,,,,,,16999,21999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Ultima Classic Mattress | Foamico,"Ultima Classic by Foamico — reliable, firm comfort with Cloud Sense Foam over Zero G Latex orthopedic support. 25-year warranty with 5-year full replacement.",,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,ultima-classic-mattress,,,,,,,,ULT-CLS-DOU,,Size,"Double (72"" x 48"")",,,,,,,,20999,26999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ultima-classic-mattress,,,,,,,,ULT-CLS-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,22999,28999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ultima-classic-mattress,,,,,,,,ULT-CLS-KIN,,Size,"King (78"" x 72"")",,,,,,,,27999,34999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Ultima Premium Mattress,ultima-premium-mattress,Ultima Premium by Foamico — Cosmic Byte and Cloud Sense comfort foams over Zero G Latex orthopedic support. 25-year warranty with 5-year full replacement.,Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Ultima, Premium",TRUE,Active,ULT-PRM-SIN,,Size,"Single (72"" x 36"")",,,,,,,,18999,23999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Ultima Premium Mattress | Foamico,Ultima Premium by Foamico — Cosmic Byte and Cloud Sense comfort foams over Zero G Latex orthopedic support. 25-year warranty with 5-year full replacement.,,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,ultima-premium-mattress,,,,,,,,ULT-PRM-DOU,,Size,"Double (72"" x 48"")",,,,,,,,22999,28999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ultima-premium-mattress,,,,,,,,ULT-PRM-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,26999,33999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ultima-premium-mattress,,,,,,,,ULT-PRM-KIN,,Size,"King (78"" x 72"")",,,,,,,,31999,39999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Ultima Luxury Mattress,ultima-luxury-mattress,Ultima Luxury by Foamico — Memorest and Cosmic Byte comfort foams over Zero G Latex orthopedic support. 25-year warranty with 5-year full replacement.,Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Ultima, Luxury",TRUE,Active,ULT-LUX-SIN,,Size,"Single (72"" x 36"")",,,,,,,,19999,24999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Ultima Luxury Mattress | Foamico,Ultima Luxury by Foamico — Memorest and Cosmic Byte comfort foams over Zero G Latex orthopedic support. 25-year warranty with 5-year full replacement.,,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,ultima-luxury-mattress,,,,,,,,ULT-LUX-DOU,,Size,"Double (72"" x 48"")",,,,,,,,24999,31999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ultima-luxury-mattress,,,,,,,,ULT-LUX-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,29999,37999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ultima-luxury-mattress,,,,,,,,ULT-LUX-KIN,,Size,"King (78"" x 72"")",,,,,,,,35999,44999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Riva 1000 Mattress,riva-1000-mattress,"Riva 1000 by Foamico — NubeSoave and Struttura Forte comfort layers over a FondoCore Italia base, wrapped in UltraLuxe Adaptive Knit fabric. Our most premium range, 30-year warranty with 5-year full replacement.",Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Riva, 1000",TRUE,Active,RIVA-1000-SIN,,Size,"Single (72"" x 36"")",,,,,,,,22999,28999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Riva 1000 Mattress | Foamico,"Riva 1000 by Foamico — NubeSoave and Struttura Forte comfort layers over a FondoCore Italia base, wrapped in UltraLuxe Adaptive Knit fabric. Our most premium range, 30-year warranty with 5-year full replacement.",,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,riva-1000-mattress,,,,,,,,RIVA-1000-DOU,,Size,"Double (72"" x 48"")",,,,,,,,28999,35999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,riva-1000-mattress,,,,,,,,RIVA-1000-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,33999,41999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,riva-1000-mattress,,,,,,,,RIVA-1000-KIN,,Size,"King (78"" x 72"")",,,,,,,,39999,48999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Riva 2000 Mattress,riva-2000-mattress,"Riva 2000 by Foamico — SetaComforto, NubeSoave and Struttura Forte comfort layers over a FondoCore Italia base, wrapped in UltraLuxe Adaptive Knit fabric. 30-year warranty with 5-year full replacement.",Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Riva, 2000",TRUE,Active,RIVA-2000-SIN,,Size,"Single (72"" x 36"")",,,,,,,,25999,32999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Riva 2000 Mattress | Foamico,"Riva 2000 by Foamico — SetaComforto, NubeSoave and Struttura Forte comfort layers over a FondoCore Italia base, wrapped in UltraLuxe Adaptive Knit fabric. 30-year warranty with 5-year full replacement.",,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,riva-2000-mattress,,,,,,,,RIVA-2000-DOU,,Size,"Double (72"" x 48"")",,,,,,,,31999,38999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,riva-2000-mattress,,,,,,,,RIVA-2000-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,37999,45999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,riva-2000-mattress,,,,,,,,RIVA-2000-KIN,,Size,"King (78"" x 72"")",,,,,,,,43999,52999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Riva 3000 Mattress,riva-3000-mattress,"Riva 3000 by Foamico — LussoMorbido, SetaComforto, NubeSoave and Struttura Forte comfort layers over a FondoCore Italia base, wrapped in UltraLuxe Adaptive Knit fabric. Our most indulgent range, 30-year warranty with 5-year full replacement.",Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Riva, 3000",TRUE,Active,RIVA-3000-SIN,,Size,"Single (72"" x 36"")",,,,,,,,28999,35999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Riva 3000 Mattress | Foamico,"Riva 3000 by Foamico — LussoMorbido, SetaComforto, NubeSoave and Struttura Forte comfort layers over a FondoCore Italia base, wrapped in UltraLuxe Adaptive Knit fabric. Our most indulgent range, 30-year warranty with 5-year full replacement.",,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,riva-3000-mattress,,,,,,,,RIVA-3000-DOU,,Size,"Double (72"" x 48"")",,,,,,,,34999,42999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,riva-3000-mattress,,,,,,,,RIVA-3000-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,41999,49999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,riva-3000-mattress,,,,,,,,RIVA-3000-KIN,,Size,"King (78"" x 72"")",,,,,,,,47999,57999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Foamico Sofa Cum Bed,sofa-cum-bed,"Foamico Sofa Cum Bed — a fold-out foam chair that opens flat into a single bed in seconds. Compact seating by day, a guest bed by night. Pricing depends on size and fabric — contact us for a custom quote.",Foamico,Furniture > Sofas,Sofa Bed,"Sofa Cum Bed, Accessories",TRUE,Active,SOFA-CUM-BED,,Title,Default Title,,,,,,,,14999,,,TRUE,,,,,,shopify,5,DENY,15,kg,TRUE,manual,,,,,FALSE,Foamico Sofa Cum Bed | Foamico,"Foamico Sofa Cum Bed — a fold-out foam chair that opens flat into a single bed in seconds. Compact seating by day, a guest bed by night. Pricing depends on size and fabric — contact us for a custom quote.",,Furniture > Sofas,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
Cloud Microfibre Pillow,cloud-microfibre-pillow,Hotel-style softness with siliconised microfibre fill and a breathable cotton-blend shell. Fully machine washable.,Foamico,Home & Garden > Linens & Bedding > Bedding > Pillows,Pillow,"Pillow, microfibre",TRUE,Active,CLOUD-MF,,Title,Default Title,,,,,,,,1299,1799,,TRUE,,,,,,shopify,25,DENY,700,g,TRUE,manual,,,,,FALSE,Cloud Microfibre Pillow | Foamico,Hotel-style softness with siliconised microfibre fill and a breathable cotton-blend shell. Fully machine washable.,,Home & Garden > Linens & Bedding > Bedding > Pillows,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
CloudPro Microfibre Pillow,cloudpro-microfibre-pillow,"A quilted, diamond-stitched shell holds its loft longer than a standard fibre pillow — extra plumpness for back and side sleepers.",Foamico,Home & Garden > Linens & Bedding > Bedding > Pillows,Pillow,"Pillow, microfibre",TRUE,Active,CLOUDPRO-MF,,Title,Default Title,,,,,,,,1599,2199,,TRUE,,,,,,shopify,25,DENY,700,g,TRUE,manual,,,,,FALSE,CloudPro Microfibre Pillow | Foamico,"A quilted, diamond-stitched shell holds its loft longer than a standard fibre pillow — extra plumpness for back and side sleepers.",,Home & Garden > Linens & Bedding > Bedding > Pillows,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
MemoTouch,memotouch,"A slim slab of slow-response memory foam with a breathable knit cover — steady support with minimal loft, ideal for stomach sleepers.",Foamico,Home & Garden > Linens & Bedding > Bedding > Pillows,Pillow,"Pillow, memory-foam",TRUE,Active,MEMOTOUCH,,Title,Default Title,,,,,,,,1899,2499,,TRUE,,,,,,shopify,25,DENY,700,g,TRUE,manual,,,,,FALSE,MemoTouch | Foamico,"A slim slab of slow-response memory foam with a breathable knit cover — steady support with minimal loft, ideal for stomach sleepers.",,Home & Garden > Linens & Bedding > Bedding > Pillows,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
ZeroGravity Natural,zerogravity-natural,"A flatter, gel-infused memory foam slab for sleepers who prefer minimal loft — steady support without sinking in.",Foamico,Home & Garden > Linens & Bedding > Bedding > Pillows,Pillow,"Pillow, memory-foam, cooling",TRUE,Active,ZG-NATURAL,,Title,Default Title,,,,,,,,2099,2799,,TRUE,,,,,,shopify,25,DENY,700,g,TRUE,manual,,,,,FALSE,ZeroGravity Natural | Foamico,"A flatter, gel-infused memory foam slab for sleepers who prefer minimal loft — steady support without sinking in.",,Home & Garden > Linens & Bedding > Bedding > Pillows,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
